model,hop_count,evidence_status,availability,per_hop_signal_means_event_per_gate,end_to_end_detection_probability,supplied_end_to_end_false_alarm_probability,modeled_latency_s,known_propagation_only_s,valid_windows_per_year,null_windows_per_year,fallback_relative_gain_per_success_currency,false_trigger_loss_currency,pulse_variable_cost_per_valid_window_currency,annual_fixed_cost_currency,annual_operating_cost_currency,annual_incremental_value_currency_per_year,notes
ideal_no_distance_penalty,1,SYNTHETIC,AVAILABLE_AS_SIMULATION_ONLY,0.1,0.09516348680100604,9.99999500000168e-07,0.016878204759907603,0.016678204759907604,10000.0,1000000.0,53.48779060216613,2000.0,2.0,150000.0,100000.0,-221099.1524501582,SIMULATION_ONLY; illustrative assumptions; not measured system performance. Named causal PFA example permits a false origin only at hop 1 and requires all downstream PD events. Pulse cost charges all hops on every valid window; relay pulses caused by false origins are excluded and would reduce value further.
ideal_no_distance_penalty,2,SYNTHETIC,AVAILABLE_AS_SIMULATION_ONLY,0.1;0.1,0.009056089220125251,9.516343921927863e-08,0.016978204759907602,0.016678204759907604,10000.0,1000000.0,52.77499739205699,2000.0,4.0,190000.0,110000.0,-335410.9760286951,SIMULATION_ONLY; illustrative assumptions; not measured system performance. Named causal PFA example permits a false origin only at hop 1 and requires all downstream PD events. Pulse cost charges all hops on every valid window; relay pulses caused by false origins are excluded and would reduce value further.
ideal_no_distance_penalty,3,SYNTHETIC,AVAILABLE_AS_SIMULATION_ONLY,0.1;0.1;0.1,0.0008618090269681225,9.056084692082162e-09,0.0170782047599076,0.016678204759907604,10000.0,1000000.0,52.06362834373157,2000.0,6.0,230000.0,120000.0,-409569.42312055075,SIMULATION_ONLY; illustrative assumptions; not measured system performance. Named causal PFA example permits a false origin only at hop 1 and requires all downstream PD events. Pulse cost charges all hops on every valid window; relay pulses caused by false origins are excluded and would reduce value further.
ideal_no_distance_penalty,4,SYNTHETIC,AVAILABLE_AS_SIMULATION_ONLY,0.1;0.1;0.1;0.1,8.201275196286879e-05,8.618085960637537e-10,0.017178204759907605,0.016678204759907604,10000.0,1000000.0,51.35368061171269,2000.0,8.0,270000.0,130000.0,-479959.60705048824,SIMULATION_ONLY; illustrative assumptions; not measured system performance. Named causal PFA example permits a false origin only at hop 1 and requires all downstream PD events. Pulse cost charges all hops on every valid window; relay pulses caused by false origins are excluded and would reduce value further.
ideal_no_distance_penalty,5,SYNTHETIC,AVAILABLE_AS_SIMULATION_ONLY,0.1;0.1;0.1;0.1;0.1,7.804619438932646e-06,8.201271095650659e-11,0.017278204759907604,0.016678204759907604,10000.0,1000000.0,50.645151356208565,2000.0,10.0,310000.0,140000.0,-549996.2113640943,SIMULATION_ONLY; illustrative assumptions; not measured system performance. Named causal PFA example permits a false origin only at hop 1 and requires all downstream PD events. Pulse cost charges all hops on every valid window; relay pulses caused by false origins are excluded and would reduce value further.
ideal_no_distance_penalty,6,SYNTHETIC,AVAILABLE_AS_SIMULATION_ONLY,0.1;0.1;0.1;0.1;0.1;0.1,7.427147989637421e-07,7.804615536624238e-12,0.017378204759907603,0.016678204759907604,10000.0,1000000.0,49.93803774310113,2000.0,12.0,350000.0,150000.0,-619999.6447120344,SIMULATION_ONLY; illustrative assumptions; not measured system performance. Named causal PFA example permits a false origin only at hop 1 and requires all downstream PD events. Pulse cost charges all hops on every valid window; relay pulses caused by false origins are excluded and would reduce value further.
ideal_no_distance_penalty,7,SYNTHETIC,AVAILABLE_AS_SIMULATION_ONLY,0.1;0.1;0.1;0.1;0.1;0.1;0.1,7.067932996809793e-08,7.427144276064674e-13,0.017478204759907603,0.016678204759907604,10000.0,1000000.0,49.23233694393508,2000.0,14.0,390000.0,160000.0,-689999.966688343,SIMULATION_ONLY; illustrative assumptions; not measured system performance. Named causal PFA example permits a false origin only at hop 1 and requires all downstream PD events. Pulse cost charges all hops on every valid window; relay pulses caused by false origins are excluded and would reduce value further.
ideal_no_distance_penalty,8,SYNTHETIC,AVAILABLE_AS_SIMULATION_ONLY,0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1,6.726091484523038e-09,7.067929462844482e-14,0.017578204759907602,0.016678204759907604,10000.0,1000000.0,48.528046135906166,2000.0,16.0,430000.0,170000.0,-759999.9968773178,SIMULATION_ONLY; illustrative assumptions; not measured system performance. Named causal PFA example permits a false origin only at hop 1 and requires all downstream PD events. Pulse cost charges all hops on every valid window; relay pulses caused by false origins are excluded and would reduce value further.
synthetic_geometric,1,SYNTHETIC,AVAILABLE_AS_SIMULATION_ONLY,0.1,0.09516348680100604,9.99999500000168e-07,0.016878204759907603,0.016678204759907604,10000.0,1000000.0,53.48779060216613,2000.0,2.0,150000.0,100000.0,-221099.1524501582,SIMULATION_ONLY; illustrative assumptions; not measured system performance. Named causal PFA example permits a false origin only at hop 1 and requires all downstream PD events. Pulse cost charges all hops on every valid window; relay pulses caused by false origins are excluded and would reduce value further.
synthetic_geometric,2,SYNTHETIC,AVAILABLE_AS_SIMULATION_ONLY,0.4;0.4,0.10868931402833516,3.296804594438148e-07,0.016978204759907602,0.016678204759907604,10000.0,1000000.0,52.77499739205699,2000.0,4.0,190000.0,110000.0,-283298.57827498915,SIMULATION_ONLY; illustrative assumptions; not measured system performance. Named causal PFA example permits a false origin only at hop 1 and requires all downstream PD events. Pulse cost charges all hops on every valid window; relay pulses caused by false origins are excluded and would reduce value further.
